route,routeDisplayName,routeTheme,lockStage,endingStage,stage,title,typeName,subject,difficultyBonus,rewardMultiplier,requirementTags,enemyMecha,routeLocking,visible,hiddenCost,rewardGold,rewardEnhancementPoints,rewardReputation,rewardStealth,rewardMatrixDamage,rewardAlienSupport,endingTitle,endingSubtitle,endingText,routeEffectDescription
SSS,SSS,秩序回收线,3,5,1,合法承包商登记,护送,审计官车队,1,1.25,后勤 / 战斗,,,护送 SSS 审计官进入红区，恢复失控补给站的合法账目。,补给站会重新供电，三名拒绝签字的旧雇员不会出现在交接名单里。,90,1,,2,,,秩序回收,红色再统一,FOF 的广播沉默，地方武装递交效忠书，矩阵节点重新亮起。城市恢复供电，工厂恢复排班，医院恢复接收伤员。你的佣兵组织获得了合法承包商编号。从此以后，你不再非法入境。你只是根据保密协议，在不该出现的地方，执行不该存在的任务。,SSS 路线提供稳定、授权、军规补给和更低的治安压力，但会让玩家越来越绑定旧战争机器。
SSS,SSS,秩序回收线,3,5,2,红区清洁委托,歼灭,蓝军补给网,2,1.35,战斗 / 情报,,,切断 FOF 在红区边缘的补给线，让 SSS 重新掌握交通节点。,被清掉的不全是武装人员，也有负责给社区医院送药的司机。,130,1,4,,,,秩序回收,红色再统一,FOF 的广播沉默，地方武装递交效忠书，矩阵节点重新亮起。城市恢复供电，工厂恢复排班，医院恢复接收伤员。你的佣兵组织获得了合法承包商编号。从此以后，你不再非法入境。你只是根据保密协议，在不该出现的地方，执行不该存在的任务。,SSS 路线提供稳定、授权、军规补给和更低的治安压力，但会让玩家越来越绑定旧战争机器。
SSS,SSS,秩序回收线,3,5,3,护矩阵,防御,能源中枢,3,1.5,战斗 / 生存,TRUE,TRUE,防守矩阵能源节点，阻止锈蚀爆破队让城区彻底断电。,能源恢复后，SSS 的监控系统也会重新上线。,180,2,,4,,,秩序回收,红色再统一,FOF 的广播沉默，地方武装递交效忠书，矩阵节点重新亮起。城市恢复供电，工厂恢复排班，医院恢复接收伤员。你的佣兵组织获得了合法承包商编号。从此以后，你不再非法入境。你只是根据保密协议，在不该出现的地方，执行不该存在的任务。,SSS 路线提供稳定、授权、军规补给和更低的治安压力，但会让玩家越来越绑定旧战争机器。
SSS,SSS,秩序回收线,3,5,4,重建威慑,占领,地方广播塔,4,1.7,战斗 / 后勤,TRUE,,夺回广播塔，向周边城市证明 SSS 仍能抵达任何地方。,广播恢复后，第一批播放的不是停战公告，而是通缉名单。,240,2,8,,,,秩序回收,红色再统一,FOF 的广播沉默，地方武装递交效忠书，矩阵节点重新亮起。城市恢复供电，工厂恢复排班，医院恢复接收伤员。你的佣兵组织获得了合法承包商编号。从此以后，你不再非法入境。你只是根据保密协议，在不该出现的地方，执行不该存在的任务。,SSS 路线提供稳定、授权、军规补给和更低的治安压力，但会让玩家越来越绑定旧战争机器。
SSS,SSS,秩序回收线,3,5,5,再统一,特殊,中央矩阵主节点,5,2.1,战斗 / 情报 / 机师,TRUE,,协助 SSS 夺回中央矩阵主节点，完成决定性军事行动。,战争会被宣布结束，许多人的战争则会进入保密附件。,360,3,,6,,,秩序回收,红色再统一,FOF 的广播沉默，地方武装递交效忠书，矩阵节点重新亮起。城市恢复供电，工厂恢复排班，医院恢复接收伤员。你的佣兵组织获得了合法承包商编号。从此以后，你不再非法入境。你只是根据保密协议，在不该出现的地方，执行不该存在的任务。,SSS 路线提供稳定、授权、军规补给和更低的治安压力，但会让玩家越来越绑定旧战争机器。
FOF,FOF,改革战争线,3,5,1,审计残页,营救,失联证人,1,1.25,生存 / 情报,,,转移掌握审计残页的证人，让 FOF 有机会证明旧秩序已经腐烂。,撤离路线需要一支不知情的地方民兵做诱饵。,80,1,,2,,,蓝色继业,被改写的胜利,SSS 的中央广播第一次没有播放纸鹤的命令。后翼的审计档案被公开，元老院的签名、资金流和死亡名单铺满所有频道。FOF 宣布成立临时改革政府，承诺战争会结束，矩阵会归还人民，军队会接受审计。三小时后，第一份保密外包合同送到你的终端。标题是：临时政府安全稳定行动。附件很长，报酬很高，目标名单没有照片。,FOF 路线提供动员、人脉、情报和低成本扩张，但资源不稳定，理想会逐步变成军政府表格。
FOF,FOF,改革战争线,3,5,2,蓝色安全屋,护送,改革派联系人,2,1.35,后勤 / 生存,,,护送改革派联系人穿过红区封锁，建立地方联络网。,联络网会保护证人，也会筛掉不方便保护的人。,120,1,4,,,,蓝色继业,被改写的胜利,SSS 的中央广播第一次没有播放纸鹤的命令。后翼的审计档案被公开，元老院的签名、资金流和死亡名单铺满所有频道。FOF 宣布成立临时改革政府，承诺战争会结束，矩阵会归还人民，军队会接受审计。三小时后，第一份保密外包合同送到你的终端。标题是：临时政府安全稳定行动。附件很长，报酬很高，目标名单没有照片。,FOF 路线提供动员、人脉、情报和低成本扩张，但资源不稳定，理想会逐步变成军政府表格。
FOF,FOF,改革战争线,3,5,3,夺频,突袭,矩阵通信频道,3,1.5,情报 / 战斗,,TRUE,夺取矩阵通信频道，让 FOF 的证据越过 SSS 的审查网。,同一频道也会用来发布临时军政府的第一批命令。,170,2,,3,,,蓝色继业,被改写的胜利,SSS 的中央广播第一次没有播放纸鹤的命令。后翼的审计档案被公开，元老院的签名、资金流和死亡名单铺满所有频道。FOF 宣布成立临时改革政府，承诺战争会结束，矩阵会归还人民，军队会接受审计。三小时后，第一份保密外包合同送到你的终端。标题是：临时政府安全稳定行动。附件很长，报酬很高，目标名单没有照片。,FOF 路线提供动员、人脉、情报和低成本扩张，但资源不稳定，理想会逐步变成军政府表格。
FOF,FOF,改革战争线,3,5,4,蓝旗推进,占领,战略列车站,4,1.7,战斗 / 后勤,TRUE,,夺取战略列车站，为 FOF 正规反攻打开补给窗口。,列车会带来药品、弹药和一份没有照片的清洗名单。,230,2,8,,,,蓝色继业,被改写的胜利,SSS 的中央广播第一次没有播放纸鹤的命令。后翼的审计档案被公开，元老院的签名、资金流和死亡名单铺满所有频道。FOF 宣布成立临时改革政府，承诺战争会结束，矩阵会归还人民，军队会接受审计。三小时后，第一份保密外包合同送到你的终端。标题是：临时政府安全稳定行动。附件很长，报酬很高，目标名单没有照片。,FOF 路线提供动员、人脉、情报和低成本扩张，但资源不稳定，理想会逐步变成军政府表格。
FOF,FOF,改革战争线,3,5,5,继业者宣言,特殊,主节点广播厅,5,2.1,情报 / 战斗 / 机师,TRUE,,协助 FOF 夺取关键广播厅，公开后翼遗产与审计证据。,宣言会承诺归还权力，签发宣言的人会先保留权力。,340,3,,5,,,蓝色继业,被改写的胜利,SSS 的中央广播第一次没有播放纸鹤的命令。后翼的审计档案被公开，元老院的签名、资金流和死亡名单铺满所有频道。FOF 宣布成立临时改革政府，承诺战争会结束，矩阵会归还人民，军队会接受审计。三小时后，第一份保密外包合同送到你的终端。标题是：临时政府安全稳定行动。附件很长，报酬很高，目标名单没有照片。,FOF 路线提供动员、人脉、情报和低成本扩张，但资源不稳定，理想会逐步变成军政府表格。
